Lead ID;Lead Owner;Team;Oldest Campaign;Converted;Time to Lead ConversionSorted Descending;Industry;No. of Employees;Country
00Qi000001ORWS1;NK;Tempelhof;Samples;0;-;Dental;25;Germany
00Qi000001aR3Nv;VR;Tempelhof;Samples;0;-;Other;25;France
00Qi000000s3fU6;ER;EG;Samples;0;-;Other;0;Germany
00Qi000001d2nmV;VR;Tempelhof;Samples;0;-;Other;1;United Kingdom
00Qi000001d2Xa8;AE;Tempelhof;Samples;0;-;Other;25;United Kingdom
00Qi000001dCU2V;VR;Tempelhof;Samples;0;-;Engineering;500;France
00Qi000001ceVJu;LL;Tempelhof;Samples;0;-;Other;25;United Kingdom
00Qi000001bIxsS;VR;Tempelhof;Samples;0;-;Jewellery;1,001;France
00Qi000001cybgj;KF;Tempelhof;Samples;0;-;Other;25;United Kingdom
00Qi000001aTatO;FR;Tempelhof;Samples;0;-;Other;25;Germany
00Qi000001cy8gQ;AE;Tempelhof;Samples;0;-;Other;25;United Kingdom
00Qi000001ck8lP;ER;EG;Samples;0;-;Other;500;United Kingdom
00Qi000001d2Bld;KF;Tempelhof;Samples;0;-;Engineering;25;Germany
00Qi000001eoeqS;VR;Tempelhof;Samples;0;-;Other;25;France
00Qi000001ekRDy;RE;Tempelhof;Samples;0;-;Other;25;Germany
00Qi000001dD2Eq;AE;Tempelhof;Samples;0;-;Jewellery;1;United Kingdom
00Qi000001eo8ka;KF;Tempelhof;Samples;0;-;Other;25;Germany
00Qi000001e7tzh;AE;Tempelhof;Samples;0;-;EDU;100;United Kingdom
00Qi000001enFKn;AE;Tempelhof;Samples;0;-;Jewellery;1;United Kingdom
00Qi000001e7psb;MO;Tempelhof;Samples;0;-;Other;25;Germany
00Qi000001bS3Yo;VR;Tempelhof;Samples;0;-;Other;1;France
00Qi000001bvoka;FR;Tempelhof;Samples;0;-;Engineering;1;Germany
00Qi000001dZJWP;ER;EG;Samples;0;-;Engineering;1;United Kingdom
00Qi000001dqlJL;NK;Tempelhof;Samples;0;-;Other;25;Germany
00Qi000001c2EE9;RE;Tempelhof;Samples;0;-;Engineering;500;Germany
00Qi000001ZyOTd;ER;EG;Samples;0;-;EDU;500;United Kingdom
00Qi000001bwYhZ;VR;Tempelhof;Samples;0;-;Engineering;1;France
00Qi000001cEzTy;VR;Tempelhof;Samples;0;-;Other;500;France
00Qi000001cEvAD;LL;Tempelhof;Samples;0;-;Engineering;500;United Kingdom
00Qi000001ZkbuR;ER;EG;Samples;0;-;Other;1;United Kingdom
00Qi000001bvnSt;FR;Tempelhof;Samples;0;-;Engineering;1;Germany
00Qi000001c1APq;VR;Tempelhof;Samples;0;-;Other;1;France
00Qi000001OLsnj;KV;Tempelhof;Samples;0;-;Other;1,001;Germany
00Qi000001Z9gOv;VR;Tempelhof;Samples;0;-;Dental;25;United Kingdom
00Qi000001YGhdh;ER;EG;Samples;0;-;Other;1,001;Germany
00Qi000001aLNQM;KF;Tempelhof;Samples;0;-;Jewellery;1;United Kingdom
00Qi000000mR5Vp;ER;EG;Samples;0;-;Engineering;500;Germany
00Qi000001YOgms;VR;Tempelhof;Samples;0;-;Other;1;France
00Qi000001NeFpV;ER;EG;Other;0;-;Engineering;1;United Kingdom
00Qi000001W2XQu;RE;Tempelhof;Other;0;-;Other;1;United Kingdom
00Qi000001PzbDI;ER;EG;Other;0;-;Other;100;United Kingdom
00Qi000001YMVUu;NK;Tempelhof;Other;0;-;Other;1;Germany
00Qi000001RhAw8;ER;EG;Other;0;-;Dental;-;United Kingdom
00Qi000000lKfQb;VR;Tempelhof;Other;0;-;Jewellery;0;France
00Qi000001TsAdW;ER;EG;Other;0;-;Other;1;Germany
